OrderNum,OrderDate,OrderType,CustomerType,CustName,CustCountry,CustCity,ProdCategory,ProdNumber,ProdName,Quantity, Price , Discount , Total Cost 
1100934,1/9/2017,Wholesale,Business,Gusikowski Group,Morocco,Douar Oulad Amer Leqliaa,Blueprints,BP102,Bsquare Robot Blueprint,10, $ 8.99 , $ 1.80 , $ 88.10 
1100935,1/9/2017,Retail,Individual,Spencer Educators,Syria,Jindayris,Drone Kits,DK204,BYOD-300,2, $ 89.00 , 0 , $ 178.00 
1100936,1/9/2017,Wholesale,Business,Schinner Inc.,Morocco,Ksar Lmajaz,Training Videos,TV801,Aerial Security,10, $ 36.99 , $ 7.40 , $ 362.50 
1100937,1/9/2017,Retail,Individual,Saxon Laviss,Morocco,Mzefroune,Robot Kits,RK602,BYOR-1000,1, $ 189.00 , 0 , $ 189.00 
1100938,1/9/2017,Retail,Business,Wilderman Technologies,Saudi Arabia,Layla,eBooks,EB502,Building Your First Robot,4, $ 24.95 , 0 , $ 99.80 
1100939,2/9/2017,Wholesale,Business,Turcotte Corp,Morocco,Sidi Lmokhtar,Drones,DS302,DC-304 Drone,79, $ 395.00 , $ 79.00 ," $ 31,126.00 "
1100940,2/9/2017,Retail,Individual,Kovacek Bernhard,Morocco,Gtarna,Training Videos,TV803,Cloud Computing,1, $ 29.99 , 0 , $ 29.99 
1100941,2/9/2017,Retail,Individual,Antonina Noton,Algeria,Lakhdaria,Drones,DS306,DX-145 Drone,2, $ 250.00 , 0 , $ 500.00 
1100942,2/9/2017,Retail,Individual,Frederik Pantecost,Morocco,Ain Bida,eBooks,EB507,Drone Building Essentials,1, $ 13.99 , 0 , $ 13.99 
1100943,3/9/2017,Wholesale,Business,Hettinger and Sons,Morocco,Askawn,Blueprints,BP104,Cat Robot Blueprint,6, $ 4.99 , $ 1.00 , $ 28.94 
1100944,3/9/2017,Retail,Individual,Phylis Barrabeale,Syria,Al Hasakah,Training Videos,TV812,Understanding Raspberry PI,1, $ 28.99 , 0 , $ 28.99 
1100945,3/9/2017,Wholesale,Business,Marvin Inc.,Algeria,Beni Douala,Training Videos,TV802,AI for Educators,5, $ 49.95 , $ 9.99 , $ 239.76 
1100946,3/9/2017,Wholesale,Business,Jacobi LLC,Egypt,Daraw,eBooks,EB509,GPS Drones,7, $ 19.99 , $ 4.00 , $ 135.93 
1100947,3/9/2017,Retail,Individual,Elton Sexon,Syria,Idlib,Training Videos,TV811,Understanding Drone Regulations,1, $ 27.50 , 0 , $ 27.50 
1100948,3/9/2017,Retail,Individual,Ewan Ladd,Morocco,Oued Amlil,Training Videos,TV810,Understanding Automation,1, $ 44.95 , 0 , $ 44.95 
1100949,3/9/2017,Retail,Individual,Justine Trengrouse,Morocco,Beni Oual Sehira,eBooks,EB507,Drone Building Essentials,1, $ 13.99 , 0 , $ 13.99 
1100950,3/9/2017,Retail,Individual,Cristian Iston,Morocco,Ar Rommani,Robot Kits,RK603,BYOR-1500,1, $ 189.00 , 0 , $ 189.00 
